Log_Date,Departure_Count,Departure_Mode_and_Count
1,1729,"(2, 332)"
2,1723,"(3, 377)"
3,1782,"(4, 326)"
4,1820,"(5, 382)"
5,2128,"(6, 513)"
6,1953,"(7, 442)"
7,1805,"(8, 336)"
8,1713,"(9, 369)"
9,1640,"(10, 388)"
10,1539,"(11, 302)"
11,1200,"(12, 270)"
12,1427,"(13, 343)"
13,1036,"(14, 295)"
14,2108,"(15, 539)"
15,2205,"(16, 500)"
16,2414,"(17, 454)"
17,1935,"(18, 412)"
18,1401,"(19, 341)"
19,2418,"(20, 539)"
20,2389,"(21, 483)"
21,2334,"(22, 471)"
22,1475,"(23, 389)"
23,2355,"(24, 413)"
24,1997,"(25, 443)"
25,1457,"(26, 379)"
26,2460,"(27, 610)"
27,2398,"(28, 533)"
28,2399,"(29, 518)"
29,2358,"(30, 523)"
30,2097,"(31, 412)"
31,1806,"(32, 368)"
32,1337,"(33, 367)"
33,2311,"(34, 546)"
34,2314,"(35, 587)"
35,2394,"(36, 515)"
36,1893,"(37, 502)"
37,2456,"(38, 481)"
38,1832,"(39, 422)"
39,1350,"(40, 445)"
40,2536,"(41, 638)"
41,2954,"(42, 768)"
42,2688,"(43, 608)"
43,2811,"(44, 696)"
44,2721,"(45, 559)"
45,2072,"(46, 541)"
46,1534,"(47, 438)"
47,2872,"(48, 636)"
48,2794,"(49, 727)"
49,2875,"(50, 683)"
50,2546,"(51, 658)"
51,2528,"(52, 598)"
52,2066,"(53, 546)"
53,1578,"(54, 459)"
54,2889,"(55, 684)"
55,2802,"(56, 716)"
56,2656,"(57, 639)"
57,2622,"(58, 688)"
58,2642,"(59, 612)"
59,2156,"(60, 526)"
60,1449,"(61, 458)"
61,2899,"(62, 773)"
62,3048,"(63, 738)"
63,2811,"(64, 656)"
64,2681,"(65, 641)"
65,2493,"(66, 530)"
66,2159,"(67, 497)"
67,1789,"(68, 456)"
68,3277,"(69, 775)"
69,3149,"(70, 774)"
70,3063,"(71, 708)"
71,2853,"(72, 702)"
72,2642,"(73, 540)"
73,2278,"(74, 512)"
74,1872,"(75, 460)"
75,2490,"(76, 477)"
76,1814,"(77, 433)"
77,1868,"(78, 487)"
78,2923,"(79, 710)"
