Log_Date,From,To,Sales
1397/01/01,3,30,7
1397/01/01,3,49,8
1397/01/01,3,66,6
1397/01/01,3,70,28
1397/01/01,4,70,0
1397/01/01,5,49,3
1397/01/01,6,49,2
1397/01/01,6,70,25
1397/01/01,8,70,2
1397/01/01,10,15,2
1397/01/01,10,30,23
1397/01/01,10,42,2
1397/01/01,10,49,10
1397/01/01,10,58,2
1397/01/01,10,63,2
1397/01/01,10,66,8
1397/01/01,10,67,3
1397/01/01,10,70,141
1397/01/01,11,10,4
1397/01/01,11,42,2
1397/01/01,11,49,6
1397/01/01,11,70,52
1397/01/01,13,70,2
1397/01/01,14,70,4
1397/01/01,15,3,4
1397/01/01,15,10,4
1397/01/01,15,11,3
1397/01/01,15,30,4
1397/01/01,15,42,6
1397/01/01,15,49,3
1397/01/01,15,58,2
1397/01/01,15,63,3
1397/01/01,15,66,9
1397/01/01,15,70,44
1397/01/01,15,76,1
1397/01/01,16,49,1
1397/01/01,16,66,1
1397/01/01,16,70,30
1397/01/01,19,70,1
1397/01/01,20,70,14
1397/01/01,22,42,3
1397/01/01,22,49,4
1397/01/01,22,70,30
1397/01/01,22,75,3
1397/01/01,23,70,1
1397/01/01,24,30,1
1397/01/01,24,49,3
1397/01/01,24,66,1
1397/01/01,24,70,24
1397/01/01,26,49,0
1397/01/01,29,49,0
1397/01/01,30,3,8
1397/01/01,30,10,19
1397/01/01,30,15,2
1397/01/01,30,16,3
1397/01/01,30,24,2
1397/01/01,30,37,3
1397/01/01,30,42,6
1397/01/01,30,49,9
1397/01/01,30,50,0
1397/01/01,30,56,0
1397/01/01,30,66,2
1397/01/01,30,67,1
1397/01/01,30,70,29
1397/01/01,30,75,1
1397/01/01,32,70,7
1397/01/01,37,10,2
1397/01/01,37,15,0
1397/01/01,37,30,1
1397/01/01,37,42,2
1397/01/01,37,49,2
1397/01/01,37,70,5
1397/01/01,37,75,1
1397/01/01,39,70,4
1397/01/01,41,70,1
1397/01/01,42,3,0
1397/01/01,42,10,2
1397/01/01,42,11,3
1397/01/01,42,15,1
1397/01/01,42,30,5
1397/01/01,42,37,1
1397/01/01,42,45,0
1397/01/01,42,49,5
1397/01/01,42,63,0
1397/01/01,42,66,2
1397/01/01,42,70,51
1397/01/01,45,15,1
1397/01/01,45,49,6
1397/01/01,45,66,1
1397/01/01,45,70,48
